,Question,Answer,Answer Chunk Index,Chunk_Page_Span,TOP_1,TOP_2,TOP_3,TOP_4,TOP_5
0,What type of government does Pakistan have?,Pakistan is a Federal Republic known as the Islamic Republic of Pakistan.,0,"(1, 1)","(72,)","(72, 4)","(72, 4, 10)","(72, 4, 10, 17)","(72, 4, 10, 17, 152)"
1,Can new states or areas become part of Pakistan?,"Yes, the Majlis-e-Shoora (Parliament) may admit new states or areas into the Federation by law on terms and conditions it thinks fit.",0,"(1, 1)","(1,)","(1, 76)","(1, 76, 73)","(1, 76, 73, 169)","(1, 76, 73, 169, 18)"
2,What is the designated religion of Pakistan?,Islam shall be the State religion of Pakistan.,1,"(1, 1)","(10,)","(10, 1)","(10, 1, 11)","(10, 1, 11, 157)","(10, 1, 11, 157, 156)"
3,What has been made a substantive part of the Constitution according to the provided text?,The principles and provisions set out in the Objectives Resolution have been made a substantive part of the Constitution.,2,"(1, 1)","(1,)","(1, 37)","(1, 37, 66)","(1, 37, 66, 167)","(1, 37, 66, 167, 38)"
4,What is the State's responsibility regarding exploitation?,The State shall ensure the elimination of all forms of exploitation.,3,"(2, 2)","(2,)","(2, 17)","(2, 17, 16)","(2, 17, 16, 7)","(2, 17, 16, 7, 15)"
5,What rights do individuals have regarding their treatment under the law in Pakistan?,Individuals have the right to enjoy the protection of law and to be treated in accordance with law. This is an inalienable right of every citizen and every other person within Pakistan.,4,"(2, 2)","(2,)","(2, 9)","(2, 9, 10)","(2, 9, 10, 11)","(2, 9, 10, 11, 5)"
6,Can a person be forced to do something that is not required by law in Pakistan?,"No, a person cannot be compelled to do something that the law does not require them to do.",4,"(2, 2)","(2,)","(2, 8)","(2, 8, 7)","(2, 8, 7, 105)","(2, 8, 7, 105, 11)"
7,What is the fundamental duty of every citizen according to the text?,The fundamental duty of every citizen is loyalty to the State.,5,"(2, 2)","(2,)","(2, 10)","(2, 10, 13)","(2, 10, 13, 9)","(2, 10, 13, 9, 11)"
8,What is required of every person within Pakistan in terms of the Constitution and law?,Every person within Pakistan is required to obey the Constitution and law.,5,"(2, 2)","(8,)","(8, 11)","(8, 11, 153)","(8, 11, 153, 2)","(8, 11, 153, 2, 152)"
9,What actions can make a person guilty of high treason?,"A person can be guilty of high treason if they abrogate, subvert, suspend, or hold in abeyance the Constitution by use of force, show of force, or any other unconstitutional means, or if they attempt or conspire to do so.",6,"(2, 3)","(3,)","(3, 2)","(3, 2, 7)","(3, 2, 7, 21)","(3, 2, 7, 21, 8)"
10,Can acts of high treason be validated by any court in Pakistan?,"No, acts of high treason cannot be validated by any court, including the Supreme Court and a High Court.",6,"(2, 3)","(3,)","(3, 2)","(3, 2, 148)","(3, 2, 148, 6)","(3, 2, 148, 6, 8)"
11,"What entities are included in the definition of ""the State"" in this context?","""The State"" includes the Federal Government, Majlis-e-Shoora (Parliament), a Provincial Government, a Provincial Assembly, and local or other authorities in Pakistan empowered by law to impose any tax or cess.",7,"(4, 4)","(4,)","(4, 17)","(4, 17, 16)","(4, 17, 16, 18)","(4, 17, 16, 18, 14)"
