id,answers,prediction_text_claude
0,اسلامی کونسل کا کوئی رکن تین سال کی مدت کے لیے اپنے عہدے پر فائز رہے گا۔,اسلامی کونسل کے رکن کی مدت کار تین سال ہوتی ہے۔
1,پاکستان میں یوم آغاز سے قبل قبائلی علاقے جات میں بلوچستان اور خیبر پختونخوا کے قبائلی علاقے جات، اور امب، چترال، دیر اور سوات کی سابقہ ریاستیں شامل تھیں۔,"پاکستان میں یوم آغاز سے قبل درج ذیل علاقوں کو قبائلی علاقے جات سمجھا جاتا تھا:

۱۔ بلوچستان اور خیبر پختونخوا کے قبائلی علاقے جات۔
۲۔ امب، چترال، دیر اور سوات کی سابقہ ریاستیں۔"
2,نہیں، کسی عدالت عالیہ کے جج کا اس کی رضامندی کے بغیر اور صدر کی طرف سے چیف جسٹس پاکستان اور دونوں عدالت عالیہ کے چیف جسٹسوں کے مشورے کے بعد کسی دوسری عدالت عالیہ میں تبادلہ نہیں کیا جا سکتا۔,نہیں، کسی عدالت عالیہ کے جج کا اس کی رضامندی کے بغیر کسی دوسری عدالت عالیہ میں تبادلہ نہیں کیا جا سکتا۔ صدر کسی جج کا تبادلہ صرف اس کی رضامندی سے ہی کر سکتا ہے، اور یہ تبادلہ چیف جسٹس پاکستان اور دونوں متعلقہ عدالت عالیہ کے چیف جسٹسوں کے مشورے سے ہی کیا جا سکتا ہے۔
3,وفاقی حکومت یا، جیسی بھی صورت ہو، صوبائی حکومت کے پاس موجودہ قواعد و احکام میں ترمیم کرنے کا اختیار ہے۔,وفاقی حکومت یا، جیسی بھی صورت ہو، صوبائی حکومت کے پاس موجودہ قواعد و احکام میں ترمیم کرنے کا اختیار ہے۔
4,کسی رکن کو منحرف قرار دینے سے پہلے، پارٹی کے سربراہ کو مذکورہ رکن کو اس بارے میں اظہار وجوہ کا موقع فراہم کرنا چاہیے کہ کیوں نہ اس کے خلاف مذکورہ اعلان کر دیا جائے۔,پارٹی کے سربراہ کو کسی رکن کو منحرف قرار دینے سے پہلے مذکورہ رکن کو اس بارے میں اظہار وجوہ کا موقع فراہم کرنا چاہیے کہ کیوں نہ اس کے خلاف مذکورہ اعلان کر دیا جائے۔
5,وفاقی حکومت کی طرف سے برقیابی بجلی کی پیداوار سے کمائے گئے اصل منافع جات اس صوبے کو ادا کر دیئے جاتے ہیں جس میں وہ برقیابی بجلی گھر واقع ہو۔,وفاقی حکومت یا اس کے زیر انتظام ادارے کی طرف سے کسی برقیابی بجلی گھر سے بجلی کی تھوک مقدار میں پیداوار سے کمائے ہوئے اصل منافع جات اس صوبے کو ادا کر دیئے جائیں گے جس میں وہ برقیابی بجلی گھر واقع ہو۔
6,پاکستان میں صوبائی آسامیوں کے تقرر اور شرائط ملازمت کا تعین صوبائی اسمبلی کے ایکٹ کے تحت یا اس کے ذریعے کیا جاتا ہے۔,صوبائی آسامیوں کے تقرر اور شرائط ملازمت کا تعین صوبائی اسمبلی کے ایکٹ کے تحت یا اس کے ذریعے کیا جاتا ہے۔
7,نہیں، کسی شخص کو کسی ایسے فعل یا ترک فعل کے لیے سزا نہیں دی جا سکتی جو اس کے سرزد ہونے کے وقت قانون کے تحت قابل سزا نہ تھا۔,نہیں، کسی شخص کو ایسے عمل کے لیے سزا نہیں دی جا سکتی جو اس وقت غیر قانونی نہیں تھا جب اس نے وہ عمل کیا۔ دیے گئے متن کے مطابق، کوئی قانون کسی شخص کو ایسے فعل یا ترک فعل کے لیے سزا دینے کی اجازت نہیں دے گا جو اس فعل کے سرزد ہونے کے وقت کسی قانون کے تحت قابل سزا نہ تھا۔
8,نہیں، جو شخص کسی عدالت عالیہ کے مستقل جج کے عہدے پر فائز رہ چکا ہو، وہ اس کے دائرہ اختیار کے اندر کسی عدالت یا کسی ہیئت مجاز کے روبرو وکالت یا کام نہیں کرے گا۔,نہیں، کسی سابق عدالت عالیہ کے جج کو اس کے دائرہ اختیار کے اندر کسی عدالت میں کام کرنے کی اجازت نہیں ہے۔ دی گئی معلومات کے مطابق، جو شخص کسی عدالت عالیہ کے مستقل جج کی حیثیت سے عہدے پر فائز رہ چکا ہو، وہ اس کے دائرہ اختیار کے اندر کسی عدالت یا کسی ہیئت مجاز کے روبرو وکالت یا کام نہیں کر سکتا۔
9,کوئی ایوان، کوئی صوبائی اسمبلی، صدر یا گورنر اسلامی کونسل کو یہ سوال بھیج سکتا ہے کہ آیا کوئی مجوزہ قانون اسلامی احکام کے مطابق ہے۔,اسلامی کونسل کو مشورے کے لیے یہ سوال کوئی ایوان، کسی صوبائی اسمبلی، صدر یا کسی گورنر بھیج سکتا ہے کہ آیا کوئی مجوزہ قانون اسلامی احکام کے مطابق ہے۔
