id,answers,prediction_text_gemini
0,اسلامی کونسل کا کوئی رکن تین سال کی مدت کے لیے اپنے عہدے پر فائز رہے گا۔,تین سال۔
1,پاکستان میں یوم آغاز سے قبل قبائلی علاقے جات میں بلوچستان اور خیبر پختونخوا کے قبائلی علاقے جات، اور امب، چترال، دیر اور سوات کی سابقہ ریاستیں شامل تھیں۔,بلوچستان اور خیبر پختونخوا کے قبائلی علاقہ جات، اور امب، چترال، دیر اور سوات کی سابقہ ریاستیں۔
2,نہیں، کسی عدالت عالیہ کے جج کا اس کی رضامندی کے بغیر اور صدر کی طرف سے چیف جسٹس پاکستان اور دونوں عدالت عالیہ کے چیف جسٹسوں کے مشورے کے بعد کسی دوسری عدالت عالیہ میں تبادلہ نہیں کیا جا سکتا۔,نہیں۔ کسی جج کا تبادلہ اس کی رضامندی کے بغیر نہیں کیا جا سکتا۔
3,وفاقی حکومت یا، جیسی بھی صورت ہو، صوبائی حکومت کے پاس موجودہ قواعد و احکام میں ترمیم کرنے کا اختیار ہے۔,وفاقی حکومت یا صوبائی حکومت کے پاس، جیسا کہ صورتحال ہو۔
4,کسی رکن کو منحرف قرار دینے سے پہلے، پارٹی کے سربراہ کو مذکورہ رکن کو اس بارے میں اظہار وجوہ کا موقع فراہم کرنا چاہیے کہ کیوں نہ اس کے خلاف مذکورہ اعلان کر دیا جائے۔,پارٹی کا سربراہ رکن کو اظہارِ وجوہ کا موقع فراہم کرے گا کہ کیوں نہ اس کے خلاف منحرف ہونے کا اعلان کر دیا جائے۔
5,وفاقی حکومت کی طرف سے برقیابی بجلی کی پیداوار سے کمائے گئے اصل منافع جات اس صوبے کو ادا کر دیئے جاتے ہیں جس میں وہ برقیابی بجلی گھر واقع ہو۔,ایسے منافع جات اس صوبے کو ادا کر دیے جائیں گے جس میں وہ برقیابی بجلی گھر واقع ہے۔
6,پاکستان میں صوبائی آسامیوں کے تقرر اور شرائط ملازمت کا تعین صوبائی اسمبلی کے ایکٹ کے تحت یا اس کے ذریعے کیا جاتا ہے۔,صوبائی اسمبلی کے ایکٹ کے تحت یا اس کے ذریعے۔
7,نہیں، کسی شخص کو کسی ایسے فعل یا ترک فعل کے لیے سزا نہیں دی جا سکتی جو اس کے سرزد ہونے کے وقت قانون کے تحت قابل سزا نہ تھا۔,نہیں۔
8,نہیں، جو شخص کسی عدالت عالیہ کے مستقل جج کے عہدے پر فائز رہ چکا ہو، وہ اس کے دائرہ اختیار کے اندر کسی عدالت یا کسی ہیئت مجاز کے روبرو وکالت یا کام نہیں کرے گا۔,نہیں۔
9,کوئی ایوان، کوئی صوبائی اسمبلی، صدر یا گورنر اسلامی کونسل کو یہ سوال بھیج سکتا ہے کہ آیا کوئی مجوزہ قانون اسلامی احکام کے مطابق ہے۔,ایوان، صوبائی اسمبلی، صدر یا گورنر۔
10,قانون بننے تک صدر بذریعہ فرمان چیئرمین، ڈپٹی چیئرمین، وزیر اعظم اور سینیٹ کے ارکان کی تنخواہیں، بھتے اور مراعات متعین کر سکتا ہے۔,صدر بذریعہ فرمان۔
11,صدر کو جسمانی یا دماغی نا اہلی، دستور کی خلاف ورزی، یا فاش غلط روی کی بنیاد پر عہدے سے ہٹایا جا سکتا ہے۔,صدر کو جسمانی یا دماغی نااہلی، آئین کی خلاف ورزی، یا سنگین بدعمالی کی صورت میں عہدے سے ہٹایا جا سکتا ہے۔
12,ہر عدالت عالیہ کے اضافی بینچوں کے مقامات کا تعین گورنر کابینہ کے مشورے اور عدالت عالیہ کے چیف جسٹس کے مشورے سے کرتا ہے۔,گورنر، کابینہ کی رائے سے اور عدالتِ عالیہ کے چیف جسٹس کے مشورے سے۔
13,عدالت ایسا حکم صادر کر سکتی ہے جو وہ مناسب سمجھے، جس میں کسی حکم سزا کی تعمیل روکنا اور ملزم کو ضمانت پر یا اس کے اپنے مچلکہ پر رہا کرنا شامل ہو سکتا ہے جب تک کہ ریکارڈ کا جائزہ نہ لے لیا جائے۔,عدالت مقدمے کا ریکارڈ طلب کر کے اس کا جائزہ لے سکتی ہے اور مناسب حکم جاری کر سکتی ہے۔
14,گورنر، عدالت عالیہ کے جج، صوبائی اسمبلی کے اسپیکر اور ڈپٹی اسپیکر، اور عدالت عالیہ اور صوبائی اسمبلی سیکرٹریٹ کے افسران اور ملازمین کی تنخواہ صوبائی مجموعی فنڈ پر واجب الادا ہوتی ہے۔,گورنر، اس کے دفتر سے متعلق دیگر افراد، عدالتِ عالیہ کے جج، صوبائی اسمبلی کے اسپیکر اور ڈپٹی اسپیکر، عدالت عالیہ اور صوبائی اسمبلی سیکرٹریٹ کے افسران اور ملازمین۔
15,بل پر مجلس شوریٰ (پارلیمنٹ) کے مشترکہ اجلاس میں دوبارہ غور کیا جاتا ہے، اور اگر اسے دونوں ایوانوں کے موجود اراکین کی اکثریت رائے دہی اور رائے شماری سے دوبارہ منظور کر لیا جائے، تو اسے صدر کو پیش کیا جاتا ہے، جو دس دن کے اندر اس کی منظوری دے گا، ناکامی کی صورت میں مذکورہ منظوری دی گئی متصور ہو گی۔,صدر کے بل واپس کرنے پر مجلسِ شوریٰ (پارلیمنٹ) مشترکہ اجلاس میں اس پر دوبارہ غور کرے گی۔ اگر موجود اراکین کی اکثریت سے بل دوبارہ منظور ہو جائے (ترمیم کے ساتھ یا بغیر ترمیم) تو صدر کو دس دن میں اس کی منظوری دینی ہوگی۔ ایسا نہ کرنے کی صورت میں منظوری دی گئی تصور ہوگی۔
16,گورنر عدالت عالیہ کے چیف جسٹس کے سامنے حلف اٹھاتا ہے۔,عدالتِ عالیہ کے چیف جسٹس کے سامنے۔
17,ہنگامی حالت کے دوران پارلیمنٹ کے بنائے گئے قوانین، جنہیں بنانے کا اختیار پارلیمنٹ کو نہ ہوتا اگر ہنگامی حالت کا اعلان جاری نہ ہوا ہوتا، اعلان کے نافذ العمل نہ رہنے کے چھ ماہ بعد غیر موثر ہو جائیں گے، سوائے ان امور کے جو مذکورہ مدت کے ختم ہونے سے قبل انجام پا چکے ہوں یا انجام دہی سے نظرانداز ہو گئے ہوں۔,ہنگامی حالت کے نفاذ کے دوران پارلیمنٹ  جن قوانین کو بنانے کا اختیار عام حالات میں نہیں رکھتی، وہ ہنگامی حالت کے خاتمے کے چھ ماہ بعد از خود کالعدم ہو جائیں گے سوائے ان امور کے جن پر عملدرآمد ہو چکا ہو یا جن سے چشم پوشی برتی جا چکی ہو۔
18,وزیرِاعظم کے خلاف عدم اعتماد کا ووٹ پیش کرنے کے لیے قومی اسمبلی کی کل رکنیت کے کم از کم بیس فیصد ارکان کی ضرورت ہوتی ہے۔,قومی اسمبلی کی کل رکنیت کے کم از کم بیس فیصد ارکان کی۔
19,وفاقی حکومت کو کسی صوبے میں پن بجلی کے پاور اسٹیشن تعمیر کرنے کا فیصلہ کرنے سے پہلے متعلقہ صوبائی حکومت سے مشاورت کرنی چاہیے۔,متعلقہ صوبائی حکومت سے مشاورت کرے گی۔
20,پاکستان کے چیف جسٹس صدر کو حلف دلواتے ہیں۔,پاکستان کا چیف جسٹس۔
21,نہیں، کوئی پاکستانی شہری وفاقی حکومت کی منظوری کے بغیر کسی بیرونی ریاست سے کوئی خطاب، اعزاز یا اعزازی نشان قبول نہیں کر سکتا۔,نہیں۔
22,جی ہاں، انگریزی زبان اس وقت تک سرکاری اغراض کے لیے استعمال کی جا سکتی ہے، جب تک کہ اسے اردو سے تبدیل کرنے کے انتظامات نہ ہو جائیں۔,جی، اس وقت تک جب تک اسے اردو سے تبدیل کرنے کے انتظامات نہ ہو جائیں۔
23,الیکشن کمیشن کے ارکان کا تقرر صدر کرتا ہے۔,صدرِ مملکت۔
24,نہیں، کسی شخص کو کوئی ایسا خاص محصول ادا کرنے پر مجبور نہیں کیا جا سکتا جس کی آمدنی اس کے اپنے مذہب کے علاوہ کسی اور مذہب کی تبلیغ و ترویج پر صرف کی جائے۔,نہیں۔
25,جی ہاں، اگر کوئی صوبائی حکومت اپنے صوبے سے باہر تجارت یا کاروبار کرتی ہے، تو اس پر مجلس شوریٰ (پارلیمنٹ) کے ایکٹ یا جس صوبے میں وہ تجارت یا کاروبار کیا جاتا ہو، اس صوبے کی صوبائی اسمبلی کے ایکٹ کے تحت محصول عائد کیا جا سکتا ہے۔,جی، اگر صوبائی حکومت اپنے صوبے سے باہر کاروبار کرے تو اس پر ٹیکس لگایا جا سکتا ہے۔
26,گورنر، وزیراعلیٰ کو اپنے عہدے پر برقرار رہنے کے لیے کہہ سکتا ہے تاوقتیکہ اس کا جانشین وزیراعلیٰ کے عہدے پر فائز نہ ہو جائے۔,گورنر۔
27,جی ہاں، صوبائی حکومت یا مقامی ہیئت مجاز تقرر سے قبل کسی بھی آسامی یا ملازمت کی قسم کے لیے زیادہ سے زیادہ تین سال تک سکونت کی شرائط عائد کر سکتی ہے۔,جی ہاں، زیادہ سے زیادہ تین سال تک کی سکونت کی شرط عائد کر سکتی ہے۔
28,جی ہاں، قومی اسمبلی کی رکنیت کے لئے اہلیت اور نااہلیت کے قواعد صوبائی اسمبلی پر بھی لاگو ہوتے ہیں۔,جی ہاں۔
29,عدالت عظمیٰ کا جج پینسٹھ سال کی عمر کو پہنچنے تک خدمت کر سکتا ہے۔,پینسٹھ سال کی عمر تک۔
30,قومی مالیاتی کمیشن کا ایک فرض صدر کو وفاق اور صوبوں کے مابین بعض محصولات کی خالص آمدنی کی تقسیم کے بارے میں سفارشات پیش کرنا ہے۔,وفاق اور صوبوں کے مابین خالص محصولات کی تقسیم کے بارے میں صدر کو سفارشات پیش کرنا۔
31,یوم آغاز سے قبل صوبائی اغراض کے لیے استعمال ہونے والی جائیداد اور اثاثے اس دن سے صوبے کی حکومت کے تصرف میں آ جائیں گے۔,یوم آغاز کے بعد بھی وہ  صوبائی حکومت کے تصرف میں رہیں گے۔
32,ایوان کی کارروائی اس بناء پر ناجائز نہیں ہوگی کہ کچھ اشخاص جو ایسا کرنے کا حق نہیں رکھتے تھے، کارروائی کے دوران بیٹھے، ووٹ دیئے یا کسی اور صورت میں حصہ لیتے رہے۔,ایوان کی کارروائی اس بناء پر ناجائز نہیں ہوگی۔
33,جی ہاں، ہر مذہبی گروہ اور فرقے کو قانون، امن عامہ اور اخلاق کے تابع اپنے مذہبی ادارے قائم کرنے، برقرار رکھنے اور ان کا انتظام کرنے کا حق ہے۔,جی، ہر مذہبی گروہ اور اس کے ہر فرقے کو اپنے مذہبی ادارے قائم کرنے، برقرار رکھنے اور ان کا انتظام کرنے کا حق ہے۔
34,مجلس شوریٰ (پارلیمنٹ) کو وفاقی قانون سازی کی فہرست میں شامل کسی امر کے بارے میں قوانین بنانے کا بلا شرکت غیرے اختیار ہوگا۔,مجلسِ شوریٰ (پارلیمنٹ) کے پاس بلا شرکتِ غیرہ۔
35,سینیٹ 96 ارکان پر مشتمل ہے۔,۹۶ ارکان ہیں۔
36,نہیں، کوئی شخص جو کسی مجاز عدالت کی طرف سے فاتر العقل قرار دیا گیا ہو، پارلیمنٹ کا رکن منتخب ہونے یا چنے جانے کے لیے نااہل ہوتا ہے۔,نہیں۔
