id,answers,prediction_text_mistral
0,اسلامی کونسل کا کوئی رکن تین سال کی مدت کے لیے اپنے عہدے پر فائز رہے گا۔,اسلامی کونسل کے رکن کی مدت کار تین سال ہوتی ہے۔
1,پاکستان میں یوم آغاز سے قبل قبائلی علاقے جات میں بلوچستان اور خیبر پختونخوا کے قبائلی علاقے جات، اور امب، چترال، دیر اور سوات کی سابقہ ریاستیں شامل تھیں۔,پاکستان میں یوم آغاز سے قبل، بلوچستان اور خیبر پختونخوا کے قبائلی علاقے جات، امب، چترال، دیر اور سوات کی سابقہ ریاستیں کو قبائلی علاقے جات سمجھا جاتا تھا۔
2,نہیں، کسی عدالت عالیہ کے جج کا اس کی رضامندی کے بغیر اور صدر کی طرف سے چیف جسٹس پاکستان اور دونوں عدالت عالیہ کے چیف جسٹسوں کے مشورے کے بعد کسی دوسری عدالت عالیہ میں تبادلہ نہیں کیا جا سکتا۔,نہیں، کسی عدالت عالیہ کے جج کا اس کی رضامندی کے بغیر کسی دوسری عدالت عالیہ میں تبادلہ نہیں کیا جا سکتا۔
3,وفاقی حکومت یا، جیسی بھی صورت ہو، صوبائی حکومت کے پاس موجودہ قواعد و احکام میں ترمیم کرنے کا اختیار ہے۔,وفاقی حکومت یا صوبائی حکومت کے پاس ہے۔
4,کسی رکن کو منحرف قرار دینے سے پہلے، پارٹی کے سربراہ کو مذکورہ رکن کو اس بارے میں اظہار وجوہ کا موقع فراہم کرنا چاہیے کہ کیوں نہ اس کے خلاف مذکورہ اعلان کر دیا جائے۔,پارٹی کا سربراہ مذکورہ رکن کو اس بارے میں اظہار وجوہ کا موقع فراہم کرے گا کہ کیوں نہ اس کے خلاف مذکورہ اعلان کر دیا جائے۔
5,وفاقی حکومت کی طرف سے برقیابی بجلی کی پیداوار سے کمائے گئے اصل منافع جات اس صوبے کو ادا کر دیئے جاتے ہیں جس میں وہ برقیابی بجلی گھر واقع ہو۔,وفاقی حکومت کی طرف سے برقیابی بجلی کی پیداوار سے کمائے گئے اصل منافع جات اس صوبے کو ادا کر دیئے جائیں گے جس میں وہ برقیابی بجلی گھر واقع ہو۔
6,پاکستان میں صوبائی آسامیوں کے تقرر اور شرائط ملازمت کا تعین صوبائی اسمبلی کے ایکٹ کے تحت یا اس کے ذریعے کیا جاتا ہے۔,پاکستان میں صوبائی آسامیوں کے تقرر اور شرائط ملازمت کا تعین اس صوبائی اسمبلی کے ایکٹ کے تحت یا اس کے ذریعے ہوتا ہے۔
7,نہیں، کسی شخص کو کسی ایسے فعل یا ترک فعل کے لیے سزا نہیں دی جا سکتی جو اس کے سرزد ہونے کے وقت قانون کے تحت قابل سزا نہ تھا۔,نہیں، کوئی شخص کو اس عمل کے لیے سزا نہیں دی جا سکتی جو اس وقت غیر قانونی نہیں تھا جب انہوں نے اسے کیا۔
8,نہیں، جو شخص کسی عدالت عالیہ کے مستقل جج کے عہدے پر فائز رہ چکا ہو، وہ اس کے دائرہ اختیار کے اندر کسی عدالت یا کسی ہیئت مجاز کے روبرو وکالت یا کام نہیں کرے گا۔,نہیں، کسی سابق عدالت عالیہ کے جج کو اس کے دائرہ اختیار کے اندر کسی عدالت میں کام کرنے کی اجازت نہیں ہے۔
9,کوئی ایوان، کوئی صوبائی اسمبلی، صدر یا گورنر اسلامی کونسل کو یہ سوال بھیج سکتا ہے کہ آیا کوئی مجوزہ قانون اسلامی احکام کے مطابق ہے۔,کسی ایوان، کسی صوبائی اسمبلی، صدر یا کسی گورنر کو کوئی ایسے سوال کے بارے میں مشورہ دینا ہے جس میں کونسل سے اس بابت رجوع کیا گیا ہو کہ آیا کوئی مجوزہ قانون اسلامی احکام کے منافی ہے یا نہیں۔
10,قانون بننے تک صدر بذریعہ فرمان چیئرمین، ڈپٹی چیئرمین، وزیر اعظم اور سینیٹ کے ارکان کی تنخواہیں، بھتے اور مراعات متعین کر سکتا ہے۔,صدر بذریعہ فرمان متعین کرتا ہے۔
11,صدر کو جسمانی یا دماغی نا اہلی، دستور کی خلاف ورزی، یا فاش غلط روی کی بنیاد پر عہدے سے ہٹایا جا سکتا ہے۔,صدر کو جسمانی یا دماغی نا اہلی کی بنیاد پر، دستور کی خلاف ورزی یا فاش غلط روی کے کسی الزام میں عہدے سے ہٹایا جا سکتا ہے۔
12,ہر عدالت عالیہ کے اضافی بینچوں کے مقامات کا تعین گورنر کابینہ کے مشورے اور عدالت عالیہ کے چیف جسٹس کے مشورے سے کرتا ہے۔,عدالت عالیہ کے اضافی بینچوں کے مقامات کا تعین صدر مقام عدالت عالیہ کرتا ہے۔
13,عدالت ایسا حکم صادر کر سکتی ہے جو وہ مناسب سمجھے، جس میں کسی حکم سزا کی تعمیل روکنا اور ملزم کو ضمانت پر یا اس کے اپنے مچلکہ پر رہا کرنا شامل ہو سکتا ہے جب تک کہ ریکارڈ کا جائزہ نہ لے لیا جائے۔,عدالت کو ایسا حکم صادر کر سکے گی جو وہ مناسب سمجھے اور سزا میں اضافہ کر سکے گی، مگر شرط یہ ہے کہ اس آرٹیکل میں کسی امر سے عدالت کو کسی تجویز برأت کو تجویز سزا یابی میں بدلنے کا مجاز کرنا متصور نہیں ہوگا اور اس آرٹیکل کے تحت کوئی حکم ملزم کی مضرت میں صادر نہیں کیا جائے گا تاوقتیکہ اسے خود اپنی صفائی میں سماعت کا موقع فراہم نہ کر دیا جائے۔
14,گورنر، عدالت عالیہ کے جج، صوبائی اسمبلی کے اسپیکر اور ڈپٹی اسپیکر، اور عدالت عالیہ اور صوبائی اسمبلی سیکرٹریٹ کے افسران اور ملازمین کی تنخواہ صوبائی مجموعی فنڈ پر واجب الادا ہوتی ہے۔,"- گورنر اور اس کے دفتر سے متعلق دیگر اخراجات، اور ان کی تنخواہ؛
- عدالت عالیہ کے جج؛
- صوبائی اسمبلی کے اسپیکر اور ڈپٹی اسپیکر؛"
15,بل پر مجلس شوریٰ (پارلیمنٹ) کے مشترکہ اجلاس میں دوبارہ غور کیا جاتا ہے، اور اگر اسے دونوں ایوانوں کے موجود اراکین کی اکثریت رائے دہی اور رائے شماری سے دوبارہ منظور کر لیا جائے، تو اسے صدر کو پیش کیا جاتا ہے، جو دس دن کے اندر اس کی منظوری دے گا، ناکامی کی صورت میں مذکورہ منظوری دی گئی متصور ہو گی۔,جب صدر بل کو مجلس شوریٰ (پارلیمنٹ) کو واپس کر دے تو مجلس شوریٰ (پارلیمنٹ) مشترکہ اجلاس میں دوبارہ غور کرے گی اور اگر اسے مجلس شوریٰ (پارلیمنٹ) دونوں ایوانوں کی اکثریت رائے دہی اور رائے شماری سے دوبارہ منظور کر لے، تو اسے دستور کی اغراض کے لیے دونوں ایوانوں کی طرف سے منظور شدہ تصور کیا جائے گا اور اسے صدر کو پیش کیا جائے گا اور صدر اس کی منظوری دس دن میں دے گا، اس میں ناکامی پر مذکورہ منظوری دی گئی متصور ہو گی۔
16,گورنر عدالت عالیہ کے چیف جسٹس کے سامنے حلف اٹھاتا ہے۔,چیف جسٹس کے سامنے
17,ہنگامی حالت کے دوران پارلیمنٹ کے بنائے گئے قوانین، جنہیں بنانے کا اختیار پارلیمنٹ کو نہ ہوتا اگر ہنگامی حالت کا اعلان جاری نہ ہوا ہوتا، اعلان کے نافذ العمل نہ رہنے کے چھ ماہ بعد غیر موثر ہو جائیں گے، سوائے ان امور کے جو مذکورہ مدت کے ختم ہونے سے قبل انجام پا چکے ہوں یا انجام دہی سے نظرانداز ہو گئے ہوں۔,جب ہنگامی حالت کا اعلان نافذ العمل نہ رہنے کے چھ ماہ بعد، مجلس شوریٰ (پارلیمنٹ) کے وضع کردہ قوانین اس حد تک غیر موثر ہو جائیں گے جس حد تک کہ مجلس شوریٰ (پارلیمنٹ) کو اس کے بنانے کا اختیار نہ تھا سوائے ان امور کے بابت جو مذکورہ مدت کے ختم ہونے سے قبل انجام پا چکے ہوں یا انجام دہی سے نظرانداز ہو گئے ہوں۔
18,وزیرِاعظم کے خلاف عدم اعتماد کا ووٹ پیش کرنے کے لیے قومی اسمبلی کی کل رکنیت کے کم از کم بیس فیصد ارکان کی ضرورت ہوتی ہے۔,قومی اسمبلی کی کل رکنیت کے کم از کم بیس فیصد ارکان کی ضرورت ہوتی ہے۔
19,وفاقی حکومت کو کسی صوبے میں پن بجلی کے پاور اسٹیشن تعمیر کرنے کا فیصلہ کرنے سے پہلے متعلقہ صوبائی حکومت سے مشاورت کرنی چاہیے۔,وفاقی حکومت کو متعلقہ صوبائی حکومت سے مشاورت کرنی چاہیے۔
20,پاکستان کے چیف جسٹس صدر کو حلف دلواتے ہیں۔,چیف جسٹس
21,نہیں، کوئی پاکستانی شہری وفاقی حکومت کی منظوری کے بغیر کسی بیرونی ریاست سے کوئی خطاب، اعزاز یا اعزازی نشان قبول نہیں کر سکتا۔,نہیں، کوئی شہری وفاقی حکومت کی منظوری کے بغیر کسی بیرونی ریاست سے کوئی اعزاز قبول نہیں کرے گا۔
22,جی ہاں، انگریزی زبان اس وقت تک سرکاری اغراض کے لیے استعمال کی جا سکتی ہے، جب تک کہ اسے اردو سے تبدیل کرنے کے انتظامات نہ ہو جائیں۔,ہاں، انگریزی زبان سرکاری اغراض کے لیے استعمال کی جا سکتی ہے، جب تک کہ اسے اردو سے تبدیل کرنے کے انتظامات نہ ہو جائیں۔
23,الیکشن کمیشن کے ارکان کا تقرر صدر کرتا ہے۔,صدر آرٹیکل 213 کی شق 2A اور 2B میں فراہم کیے گئے طریقہ کار کے مطابق تقرر کرتا ہے۔
24,نہیں، کسی شخص کو کوئی ایسا خاص محصول ادا کرنے پر مجبور نہیں کیا جا سکتا جس کی آمدنی اس کے اپنے مذہب کے علاوہ کسی اور مذہب کی تبلیغ و ترویج پر صرف کی جائے۔,نہیں، کسی کو ایسا محصول ادا کرنے پر مجبور نہیں کیا جائے گا جس کی آمدنی اس کے اپنے مذہب کے علاوہ کسی اور مذہب کی تبلیغ و ترویج پر صرف کی جائے۔
25,جی ہاں، اگر کوئی صوبائی حکومت اپنے صوبے سے باہر تجارت یا کاروبار کرتی ہے، تو اس پر مجلس شوریٰ (پارلیمنٹ) کے ایکٹ یا جس صوبے میں وہ تجارت یا کاروبار کیا جاتا ہو، اس صوبے کی صوبائی اسمبلی کے ایکٹ کے تحت محصول عائد کیا جا سکتا ہے۔,ہاں، اگر کسی صوبے کی حکومت سے کسی قسم کی تجارت یا کاروبار، اپنے صوبے سے باہر کرتی ہو، تو اس حکومت پر اس تجارت یا کاروبار سے حاصل شدہ آمدنی کی بابت مجلس شوریٰ (پارلیمنٹ) کے ایکٹ کے تحت، یا جس صوبے میں وہ تجارت یا کاروبار کیا جاتا ہو، اس صوبے کی صوبائی اسمبلی کے ایکٹ کے تحت محصول عائد کیا جا سکے گا۔
26,گورنر، وزیراعلیٰ کو اپنے عہدے پر برقرار رہنے کے لیے کہہ سکتا ہے تاوقتیکہ اس کا جانشین وزیراعلیٰ کے عہدے پر فائز نہ ہو جائے۔,گورنر
27,جی ہاں، صوبائی حکومت یا مقامی ہیئت مجاز تقرر سے قبل کسی بھی آسامی یا ملازمت کی قسم کے لیے زیادہ سے زیادہ تین سال تک سکونت کی شرائط عائد کر سکتی ہے۔,ہاں، صوبائی حکومت عوامی خدمت کی ملازمتوں کے لیے سکونت کی شرائط مقرر کر سکتی ہے لیکن یہ شرائط زیادہ سے زیادہ تین سال تک کی ہو سکتی ہیں۔
28,جی ہاں، قومی اسمبلی کی رکنیت کے لئے اہلیت اور نااہلیت کے قواعد صوبائی اسمبلی پر بھی لاگو ہوتے ہیں۔,جی ہاں، قومی اسمبلی کے رکن بننے کے لئے وہی قواعد صوبائی اسمبلی پر بھی لاگو ہوتے ہیں۔
29,عدالت عظمیٰ کا جج پینسٹھ سال کی عمر کو پہنچنے تک خدمت کر سکتا ہے۔,پینسٹھ سال کی عمر تک
30,قومی مالیاتی کمیشن کا ایک فرض صدر کو وفاق اور صوبوں کے مابین بعض محصولات کی خالص آمدنی کی تقسیم کے بارے میں سفارشات پیش کرنا ہے۔,"قومی مالیاتی کمیشن کا فرض ہوگا کہ وہ صدر کو حسب ذیل کے بارے میں سفارشات پیش کرے:
(الف) شق 3 میں مذکورہ محصولات کی خالص آمدنی کی وفاق اور صوبوں کے مابین تقسیم؛
(ب) وفاقی حکومت کی جانب سے صوبائی حکومتوں کو امدادی رقوم دینا؛
(ج) وفاقی حکومت اور صوبائی حکومتوں کی جانب سے قرضہ لینے کے اختیارات کا استعمال جو از روئے دستور عطا ہوئے ہیں؛ اور
(د) مالیات سے متعلق کوئی اور معاملہ جسے صدر نے کمیشن کو بھیجا ہو۔"
31,یوم آغاز سے قبل صوبائی اغراض کے لیے استعمال ہونے والی جائیداد اور اثاثے اس دن سے صوبے کی حکومت کے تصرف میں آ جائیں گے۔,یوم آغاز سے قبل صوبائی اغراض کے لیے استعمال ہونے والی جائیداد اور اثاثے اس دن سے اس صوبے کی حکومت کے تصرف میں آ جائیں گی۔
32,ایوان کی کارروائی اس بناء پر ناجائز نہیں ہوگی کہ کچھ اشخاص جو ایسا کرنے کا حق نہیں رکھتے تھے، کارروائی کے دوران بیٹھے، ووٹ دیئے یا کسی اور صورت میں حصہ لیتے رہے۔,ایوان کی کوئی کارروائی اس بناء پر ناجائز نہیں ہوگی کہ کچھ اشخاص جو ایسا کرنے کا حق نہیں رکھتے تھے، کارروائی کے دوران بیٹھے، ووٹ دیئے یا کسی اور صورت میں حصہ لیتے رہے۔
33,جی ہاں، ہر مذہبی گروہ اور فرقے کو قانون، امن عامہ اور اخلاق کے تابع اپنے مذہبی ادارے قائم کرنے، برقرار رکھنے اور ان کا انتظام کرنے کا حق ہے۔,ہاں، مذہبی گروہوں کو پاکستان میں اپنے مذہبی ادارے قائم کرنے، برقرار رکھنے اور ان کا انتظام کرنے کا حق ہے۔
34,مجلس شوریٰ (پارلیمنٹ) کو وفاقی قانون سازی کی فہرست میں شامل کسی امر کے بارے میں قوانین بنانے کا بلا شرکت غیرے اختیار ہوگا۔,مجلس شوریٰ (پارلیمنٹ) کو وفاقی قانون سازی کی فہرست میں شامل امور پر قوانین بنانے کا اختیار ہے۔
35,سینیٹ 96 ارکان پر مشتمل ہے۔,سینیٹ میں 96 ارکان ہیں۔
