id,answers,prediction_text
0,اسلامی کونسل کا کوئی رکن تین سال کی مدت کے لیے اپنے عہدے پر فائز رہے گا۔,اسلامی کونسل کے رکن کی مدت کار تین سال کی مدت کے لیے ہوتی ہے۔
1,پاکستان میں یوم آغاز سے قبل قبائلی علاقے جات میں بلوچستان اور خیبر پختونخوا کے قبائلی علاقے جات، اور امب، چترال، دیر اور سوات کی سابقہ ریاستیں شامل تھیں۔,پاکستان کے وہ علاقے جات مراد ہیں جو یوم آغاز سے قبل قبائلی علاقے جات تھے
2,نہیں، کسی عدالت عالیہ کے جج کا اس کی رضامندی کے بغیر اور صدر کی طرف سے چیف جسٹس پاکستان اور دونوں عدالت عالیہ کے چیف جسٹسوں کے مشورے کے بعد کسی دوسری عدالت عالیہ میں تبادلہ نہیں کیا جا سکتا۔,نہیں، کسی عدالت عالیہ کے جج کا اس کی رضامندی کے بغیر کسی دوسری عدالت عالی
3,وفاقی حکومت یا، جیسی بھی صورت ہو، صوبائی حکومت کے پاس موجودہ قواعد و احکام میں ترمیم کرنے کا اختیار ہے۔,وفاقی حکومت یا صوبائی حکومت وقتاً فوقتاً ترمیم کر سکتی ہے۔
4,کسی رکن کو منحرف قرار دینے سے پہلے، پارٹی کے سربراہ کو مذکورہ رکن کو اس بارے میں اظہار وجوہ کا موقع فراہم کرنا چاہیے کہ کیوں نہ اس کے خلاف مذکورہ اعلان کر دیا جائے۔,پارٹی کے سربراہ کو کسی رکن کو منحرف قرار دینے سے پہلے اس بارے میں اظہار وجو
5,وفاقی حکومت کی طرف سے برقیابی بجلی کی پیداوار سے کمائے گئے اصل منافع جات اس صوبے کو ادا کر دیئے جاتے ہیں جس میں وہ برقیابی بجلی گھر واقع ہو۔,وفاقی حکومت یا کسی ایسے ادارے کی طرف سے برقیابی بجلی کی پیداوار سے کمائے گئے اصل
6,پاکستان میں صوبائی آسامیوں کے تقرر اور شرائط ملازمت کا تعین صوبائی اسمبلی کے ایکٹ کے تحت یا اس کے ذریعے کیا جاتا ہے۔,پاکستان میں صوبائی آسامیوں کے تقرر اور شرائط ملازمت کا تعین مجلس شوریٰ (پارلیمنٹ
7,نہیں، کسی شخص کو کسی ایسے فعل یا ترک فعل کے لیے سزا نہیں دی جا سکتی جو اس کے سرزد ہونے کے وقت قانون کے تحت قابل سزا نہ تھا۔,نہیں، کسی شخص کو اس عمل کے لیے سزا دینے کی اجازت نہیں دے گی جو اس فعل کے سر
8,نہیں، جو شخص کسی عدالت عالیہ کے مستقل جج کے عہدے پر فائز رہ چکا ہو، وہ اس کے دائرہ اختیار کے اندر کسی عدالت یا کسی ہیئت مجاز کے روبرو وکالت یا کام نہیں کرے گا۔,نہیں، کسی سابق عدالت عالیہ کے جج کو اس کے دائرہ اختیار کے اندر کسی عدالت
9,کوئی ایوان، کوئی صوبائی اسمبلی، صدر یا گورنر اسلامی کونسل کو یہ سوال بھیج سکتا ہے کہ آیا کوئی مجوزہ قانون اسلامی احکام کے مطابق ہے۔,کسی ایوان، کسی صوبائی اسمبلی، صدر یا گورنر کی طرف سے اسلامی کونسل کو مشورے
