context_eng,context_urdu,predicted_urdu_IndicTrans2
"Existing rules, etc., to continue

Until the appropriate Legislature makes a law under Article 240, all rules and orders in force immediately before the commencing day shall, so far as consistent with the provisions of the Constitution, continue in force and may be amended from time to time by the Federal Government or, as the case may be the Provincial Government.",۴۲۲۔               ۲۲۔ جب تک کہ متعلقہ مقننہ آرٹیکل ۰۴۲ کے تحت کوئی قانون نہ بنائے، یوم آغاز سے عین قبل موجودہ قواعد و احکام، وغیرہ نافذ العمل رہیں گے اور ان میں وفاقی حکومت یا، جیسی بھی صورت ہو، صوبائی حکومت وقتاً فوقتاً ترمیم کر سکے گی۔,موجودہ قواعد وغیرہ، جاری رہیں گے جب تک کہ مناسب مقننہ آرٹیکل 240 کے تحت کوئی قانون نہیں بناتا، آغاز کے دن سے فورا پہلے نافذ تمام قواعد و ضوابط، جہاں تک آئین کی دفعات کے مطابق ہوں، نافذ رہیں گے اور ان میں ترمیم کی جا سکتی ہے۔ وقتا فوقتا وفاقی حکومت یا، جیسا بھی معاملہ ہو، صوبائی حکومت۔ 
"Protection against retrospective punishment

(1)	No law shall authorize the punishment of a person—

for an act or omission that was not punishable by law at the time of the act or omission; or

for an offence by a penalty greater than, or of a kind different from, the penalty prescribed by law for that offence at the time the offence was committed.

(2)       Nothing in clause (1) or in Article 270 shall apply to any law making acts of abrogation or subversion of a Constitution in force in Pakistan at any time since the twenty-third day of March, one thousand nine hundred and fifty-six, an offence.","کوئی قانون کسی شخص کو مؤثر بہ ماضی سزا سے تحفظ:

(1) کوئی قانون کسی شخص کو سزا دینے کی اجازت نہیں دے گا:
    - کسی ایسے فعل یا ترک فعل کے لیے جو اس فعل کے سرزد ہونے کے وقت کسی قانون کے تحت قابل سزا نہ تھا؛ یا
    - کسی جرم کے لیے ایسی سزا دینے کی جو اس جرم کے ارتکاب کے وقت کسی قانون کی رو سے اس کے لیے مقررہ سزا سے زیادہ سخت یا اس سے مختلف ہو۔

(2) شق (1) یا آرٹیکل 270 میں مذکور کوئی امر کسی ایسے قانون پر اطلاق پذیر نہ ہوگا جس کی رو سے تئیس مارچ، سن ایک ہزار نو سو چھپن سے کسی بھی وقت پاکستان میں نافذ العمل کسی دستور کی تنسیخ یا تخریب کی کارروائیوں کو جرم قرار دیا گیا ہو۔",پچھلی سزا کے خلاف تحفظ (1) کوئی بھی قانون کسی شخص کو سزا دینے کا اختیار نہیں دے گا-کسی ایسے عمل یا غلطی کے لیے جو اس عمل یا غلطی کے وقت قانون کے ذریعے قابل سزا نہ ہو ؛ یا کسی جرم کے لیے اس جرم کے ارتکاب کے وقت اس جرم کے لیے قانون کے ذریعے مقرر کردہ سزا سے زیادہ یا اس سے مختلف قسم کے جرمانے کے لیے۔ (2) شق (1) یا آرٹیکل 270 میں کچھ بھی اس قانون پر لاگو نہیں ہوگا جو پاکستان میں 23 مارچ، ایک ہزار نو سو چھپن، سے کسی بھی وقت نافذ آئین کی منسوخی یا تخریب کاری کی کارروائیاں کرتا ہو۔ 
"Oath of Office

Before entering upon office, the Governor shall make before the Chief Justice of the High Court oath in the form set out in the Third Schedule.","ﻋﮩﺪﮮ ﮐﺎ ﺣﻠﻒ

ﻋﮩﺪﮮ ﭘﺮ ﻓﺎﺋﺰ ﮨﻮﻧﮯ ﺳﮯ ﻗﺒﻞ، ﮔﻮﺭﻧﺮ ﻋﺪﺍﻟﺖ ﻋﺎﻟﯿﮧ ﮐﮯ ﭼﯿﻒ ﺟﺴﭩﺲ ﮐﮯ ﺳﺎﻣﻨﮯ ﺟﺪﻭﻝ ﺳﻮﻡ ﻣﯿﮟ ﺩﺭﺝ ﺷﺪﮦ ﻋﺒﺎﺭﺕ ﻣﯿﮟ ﺣﻠﻒ ﺍﭨﮭﺎﺋﮯ ﮔﺎ۔",عہدہ سنبھالنے سے پہلے، گورنر ہائی کورٹ کے چیف جسٹس کے سامنے تیسرے شیڈول میں بیان کردہ فارم میں حلف اٹھائے گا۔ 
"Oath of President

Before entering upon office, the President shall make before the Chief Justice of Pakistan oath in the form set out in the Third Schedule.","صدر کا حلف

عہدہ سنبھالنے سے قبل، صدر پاکستان کے چیف جسٹس کے سامنے جدول سوم میں مندرج عبارت میں حلف اٹھائے گا۔",عہدہ سنبھالنے سے پہلے صدر پاکستان کے چیف جسٹس کے سامنے تیسرے شیڈول میں بیان کردہ فارم میں حلف اٹھائیں گے۔ 
"National language

(1) The National language of Pakistan is Urdu, and arrangements shall be made for its being used for official and other purposes within fifteen years from the commencing day.

Subject to clause (1), the English language may be used for official purposes until arrangements are made for its replacement by Urdu.

Without prejudice to the status of the National language, a Provincial Assembly may by law prescribe measures for the teaching, promotion and use of a provincial language in addition to the national language.","قومی زبان

(1) پاکستان کی قومی زبان اردو ہے اور یوم آغاز سے پندرہ برس کے اندر اندر اس کو سرکاری و دیگر اغراض کے لیے استعمال کرنے کے انتظامات کیے جائیں گے۔

شق (1) کے تابع، انگریزی زبان اس وقت تک سرکاری اغراض کے لیے استعمال کی جا سکے گی، جب تک کہ اسے اردو سے تبدیل کرنے کے انتظامات نہ ہو جائیں۔

قومی زبان کی حیثیت کو متاثر کیے بغیر، کوئی صوبائی اسمبلی قانون کے ذریعہ کسی صوبائی زبان کی تعلیم، ترقی اور اس کے استعمال کے لیے اقدامات تجویز کر سکے گی۔",قومی زبان (1) پاکستان کی قومی زبان اردو ہے، اور آغاز کے دن سے پندرہ سال کے اندر سرکاری اور دیگر مقاصد کے لیے اس کے استعمال کے انتظامات کیے جائیں گے۔ شق (1) کے تابع، انگریزی زبان کو سرکاری مقاصد کے لیے اس وقت تک استعمال کیا جا سکتا ہے جب تک کہ اس کی جگہ اردو کا انتظام نہ ہو جائے۔ قومی زبان کی حیثیت پر تعصب کے بغیر، صوبائی اسمبلی قانون کے ذریعے قومی زبان کے علاوہ کسی صوبائی زبان کی تعلیم، فروغ اور استعمال کے لیے اقدامات تجویز کر سکتی ہے۔ 
"Safeguard against taxation for purposes of any particular religion

No person shall be compelled to pay any special tax the proceeds of which are to be spent on the propagation or maintenance of any religion other than his own.","کسی خاص مذہب کے لیے محصول لگانے سے تحفظ

کسی شخص کو کوئی ایسا خاص محصول ادا کرنے پر مجبور نہیں کیا جائے گا جس کی آمدنی اس کے اپنے مذہب کے علاوہ کسی اور مذہب کی تبلیغ و ترویج پر صرف کی جائے۔",کسی خاص مذہب کے مقاصد کے لیے ٹیکس کے خلاف تحفظ کسی بھی شخص کو کوئی خاص ٹیکس ادا کرنے پر مجبور نہیں کیا جائے گا جس کی آمدنی اس کے اپنے مذہب کے علاوہ کسی اور مذہب کی تبلیغ یا دیکھ بھال پر خرچ کی جانی ہے۔ 
"Chief Minister continuing in office

The Governor may ask the Chief Minister to continue to hold office until his successor enters upon the office of Chief Minister.]","وزیراعلیٰ کا عہدے پر

گورنر، وزیراعلیٰ کو اپنے عہدے پر برقرار رہنے کے لیے کہہ سکتا ہے تاوقتیکہ اس کا جانشین

وزیراعلیٰ کے عہدے پر فائز نہ ہو جائے۔",وزیر اعلی اپنے عہدے پر برقرار رہے۔ گورنر وزیر اعلی سے اس وقت تک اپنے عہدے پر برقرار رہنے کے لیے کہہ سکتا ہے جب تک کہ اس کا جانشین وزیر اعلی کے عہدے پر داخل نہ ہو جائے۔] 
"Qualifications	and	disqualifications	for	membership	of Provincial Assembly

1[113. The qualifications and disqualifications for membership of the National Assembly set out in Articles 62 and 63 shall also apply for membership of a Provincial Assembly as if reference therein to ""National Assembly"" were a reference to ""Provincial Assembly"".]","ﺻﻮﺑﺎﺋﯽ ﺍﺳﻤﺒﻠﯽ ﮐﯽ ﺭﮐﻨﯿﺖ

۳۱۱۔ ﺁﺭﭨﯿﮑﻞ ۲۶ ﺍﻭﺭ ۳۶ ﻣﯿﮟ ﻣﻨﺪﺭﺝ ﻗﻮﻣﯽ ﺍﺳﻤﺒﻠﯽ ﮐﯽ ﺭﮐﻨﯿﺖ ﮐﮯ ﻟﺌﮯ ﺍﮨﻠﯿﺖ ﺍﻭﺭ ﻧﺎﺍﮨﻠﯿﺖ ﮐﺎ ﺍﻃﻼﻕ ﺻﻮﺑﺎﺋﯽ ﺍﺳﻤﺒﻠﯽ ﮐﮯ ﻟﺌﮯ ﺑﮭﯽ ﺍﺱ ﻃﺮﺡ ﮨﻮﮔﺎ ﮔﻮﯾﺎ ﮐﮧ ﺍﺱ ﻣﯿﮟ ﻗﻮﻣﯽ ﺍﺳﻤﺒﻠﯽ ﮐﺎ ﺣﻮﺍﻟﮧ ﺻﻮﺑﺎﺋﯽ ﺍﺳﻤﺒﻠﯽ ﮐﺎ ﺣﻮﺍﻟﮧ ﮨﻮ۔","صوبائی اسمبلی کی رکنیت کے لیے اہلیت اور نااہلی 1 [113. آرٹیکل 62 اور 63 میں بیان کردہ قومی اسمبلی کی رکنیت کے لیے اہلیت اور نااہلی بھی صوبائی اسمبلی کی رکنیت کے لیے اس طرح لاگو ہوں گی جیسے کہ اس میں ""قومی اسمبلی"" کا حوالہ ""صوبائی اسمبلی"" کا حوالہ ہو۔] "
"Retiring age

1[179. A Judge of the Supreme Court shall hold office until he attains the age of sixty-five years, unless he sooner resigns or is removed from office in accordance with the Constitution.].","فارغ الخدمة ہونے

۱۷۹۔ عدالت عظمیٰ کا کوئی جج پینسٹھ سال کی عمر کو پہنچنے تک اپنے عہدے پر فائز رہے گا، بجز اس کے کہ وہ قبل ازیں مستعفی ہو جائے یا اس دستور کے مطابق عہدے سے برطرف کر دیا جائے۔",ریٹائرمنٹ کی عمر 1 [سپریم کورٹ کا جج اس وقت تک عہدے پر فائز رہے گا جب تک کہ وہ پینسٹھ سال کی عمر کو حاصل نہ کر لے، جب تک کہ وہ جلد ہی استعفی نہ دے دے یا اسے آئین کے مطابق عہدے سے ہٹا دیا جائے۔] 
"Freedom	to	profess	religion	and	to	manage	religious institutions

Subject to law, public order and morality,—

every citizen shall have the right to profess, practice and propagate his religion; and

every religious denomination and every sect thereof shall have the right to establish, maintain and manage its religious institutions.","مذہب کی پیروی اور مذہبی اداروں کا انتظام

قانون، امن عامہ اور اخلاق کے تابع،—

ہر شہری کو اپنے مذہب کی پیروی کرنے، اس پر عمل کرنے اور اس کی تبلیغ کرنے کا حق ہوگا؛ اور

ہر مذہبی گروہ اور اس کے ہر فرقے کو اپنے مذہبی ادارے قائم کرنے، برقرار رکھنے اور ان کا انتظام کرنے کا حق ہوگا۔",قانون، نظم و ضبط اور اخلاقیات کے تابع، مذہب کے ماننے اور مذہبی اداروں کا انتظام کرنے کی آزادی-ہر شہری کو اپنے مذہب کو ماننے، اس پر عمل کرنے اور اس کی تبلیغ کرنے کا حق ہوگا اور ہر مذہبی فرقے اور اس کے ہر فرقے کو اپنے مذہبی اداروں کو قائم کرنے، برقرار رکھنے اور ان کا انتظام کرنے کا حق ہوگا۔ 
